Processes: 411 total, 4 running, 407 sleeping, 1814 threads 
2018/10/10 10:38:01
Load Avg: 1.87, 1.65, 1.67 
CPU usage: 12.91% user, 14.16% sys, 72.91% idle 
SharedLibs: 189M resident, 56M data, 18M linkedit.
MemRegions: 93775 total, 4977M resident, 138M private, 1459M shared.
PhysMem: 15G used (2855M wired), 958M unused.
VM: 1863G vsize, 1302M framework vsize, 3123227(0) swapins, 3634695(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
70586  contactsdonation 0.0  00:00.46 2     1   70     6084K  0B     2208K  70586 1     sleeping *0[6]      0.00000 0.00000    501 9465     321    1754      731       25003     6787      4215      153     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
70585  heard            0.0  00:00.22 2     1   57     3596K  0B     2256K  70585 1     sleeping *0[32]     0.00000 0.00000    501 8698     211    1325      542       8928      2634      2845      64      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
66513  plugin-container 0.0  07:32.61 39    1   923    305M   0B     179M   64071 64071 sleeping *0[895]    0.00000 0.00000    501 6884060  155957 2090551   1012349   5440499   3460441   2427971   1563    0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
64232  MTLCompilerServi 0.0  00:00.05 2     2   21     6268K  0B     6104K  64232 1     sleeping *0[2]      0.00000 0.00000    0   4895     438    100       55        1182      267       207       129     0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
64074  plugin-container 0.0  05:24.31 36    1   895    575M   0B     79696K 64071 64071 sleeping *0[966]    0.00000 0.00000    501 5326669  502880 5283863   2630970   5201536   3150681   1277691   4917    0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
64071  firefox          0.0  45:16.02 110   1   4675   787M   191M   84204K 64071 1     sleeping  0[5105]   0.00000 0.00000    501 18420756 945099 9070627   3762313   175584994 29584073  21572007  36738   0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
63980  com.apple.audio. 0.0  00:00.01 2     2   21     984K   0B     816K   63980 1     sleeping *0[2]      0.00000 0.00000    501 2731     145    115       57        1167      268       190       0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
63932  rtcreportingd    0.0  00:01.19 3     1   48     7944K  0B     4256K  63932 1     sleeping *0[1]      0.00000 0.00000    0   10946    660    1323      3027      32994     5246      17461     148     0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
63919  MTLCompilerServi 0.0  00:00.46 2     2   21     9856K  0B     9692K  63919 1     sleeping *0[26]     0.00000 0.00000    262 7109     443    282       95        1907      504       1470      2865    0     0.0   0      0      _cmiodalassistants     N/A    N/A   N/A   N/A   N/A   N/A  
62537  keybagd          0.0  00:00.01 2     2   20     844K   0B     664K   62537 1     sleeping *0[1]      0.00000 0.00000    0   1801     139    63        46        951       178       318       9       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
61752  com.apple.Weathe 0.0  00:00.76 2     2   46     4100K  0B     3192K  61752 1     sleeping *0[1]      0.00000 0.00000    501 9066     212    353       398       17907     1109      11911     31      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
61749  com.apple.notifi 0.0  00:00.13 2     1   53     1536K  0B     880K   61749 1     sleeping *0[1]      0.00000 0.00000    501 6727     155    498       443       5562      1799      1728      0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
43019  AssetCacheManage 0.0  00:00.02 2     2   21     2208K  0B     2044K  43019 1     sleeping *0[2]      0.00000 0.00000    0   2621     136    108       66        1203      261       222       16      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
43018  writeconfig      0.0  00:00.03 2     2   21     1120K  0B     412K   43018 1     sleeping *0[6]      0.00000 0.00000    0   3089     144    130       80        1889      271       288       31      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
40518  distnoted        0.0  00:00.19 2     1   31     2268K  0B     1820K  40518 1     sleeping *0[1]      0.00000 0.00000    205 2028     95     2502      2150      6668      4520      2647      2       0     0.0   0      0      _locationd             N/A    N/A   N/A   N/A   N/A   N/A  
40228  com.apple.siri-d 0.0  00:00.16 2     1   48     1644K  0B     996K   40228 1     sleeping  0[0]      0.00000 0.00000    501 5448     154    737       585       6414      2206      1770      15      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
39178  LookupViewServic 0.0  00:08.63 5     2   240    26224K 0B     10272K 39178 1     sleeping  0[6329]   0.00000 0.00000    501 86362    517    61754     19877     1081636   198368    95017     971     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
37534  com.apple.CloudD 0.0  00:00.51 3     2   73     2628K  0B     744K   37534 1     sleeping *59[42]    0.00000 0.00000    501 9821     188    7074      2006      14177     8058      4585      97      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
37159  MTLCompilerServi 0.0  00:00.44 2     2   24     12596K 0B     12432K 37159 1     sleeping *0[3]      0.00000 0.00000    501 6902     442    223       89        1608      461       712       345     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
37154  VTDecoderXPCServ 0.0  00:01.18 2     1   69     11772K 0B     10476K 37154 1     sleeping *0[423]    0.00000 0.00000    501 14926    240    27890     15188     24608     26701     25554     23      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
37131  periodic-wrapper 0.0  00:00.01 2     2   24     456K   0B     300K   37131 1     sleeping *0[1]      0.00000 0.00000    0   678      78     73        56        562       205       158       0       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
37055  silhouette       0.0  00:00.14 2     1   62     2900K  0B     1896K  37055 1     sleeping  0[0]      0.00000 0.00000    501 6218     156    563       455       5398      1911      1144      53      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
37052  periodic-wrapper 0.0  00:00.01 2     2   25     484K   0B     192K   37052 1     sleeping *0[1]      0.00000 0.00000    0   766      80     83        62        605       236       218       2       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
36591  DataDetectorsSou 0.0  00:00.05 2     1   25     2560K  0B     2400K  36591 1     sleeping  0[0]      0.00000 0.00000    257 2428     140    65        54        1159      207       231       8       0     0.0   0      0      _datadetectors         N/A    N/A   N/A   N/A   N/A   N/A  
